batch_key,venue_id,expected_name,new_name,source_id,source_url,note
rename-michelin-2026-france,ve_7c2f54f0ab,Restaurant Akrame,Akrame,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/akrame507272,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_7c32575d62,Restaurant Maximin Hellio,Maximin Hellio,michelin,https://guide.michelin.com/en/normandie/deauville/restaurant/maximin-hellio,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_7e93feef0e,Hôtel & Restaurant Sodade,Sodade,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/chaudes-aigues/restaurant/sodade,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8123692ae2,l'Etape Dorée,L'Étape Dorée,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-genis-laval_1515236/restaurant/l-etape-doree,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8294ea6255,Restaurant Erasmo,Erasmo,michelin,https://guide.michelin.com/en/bretagne/carhaix-plouguer_1563515/restaurant/erasmo,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_829f7fd32b,Restaurant Omar Dhiab,Omar Dhiab,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/omar-dhiab,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8457b128d6,Restaurant Le Carmin,Le Carmin,michelin,https://guide.michelin.com/en/bourgogne-franche-comte/beaune/restaurant/le-carmin,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_846788b091,ARBANE,Arbane,michelin,https://guide.michelin.com/en/grand-est/reims/restaurant/arbane,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8484ecb3b0,L' Air de Famille,L'Air de Famille,michelin,https://guide.michelin.com/en/occitanie/toulouse/restaurant/l-air-de-famille336979,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_867311bd99,Restaurant Maison Desamy,Maison Desamy,michelin,https://guide.michelin.com/en/pays-de-la-loire/mareuil-sur-lay/restaurant/maison-desamy,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_87ca1da3d6,restaurant l'Ermitage,L'Ermitage,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/espaly-saint-marcel/restaurant/l-ermitage,Michelin spelling; Michelin is the only publisher that can vote
